族群,細產業,檔名,細產業代碼,成分股數,來源網址
休閒娛樂,旅遊,休閒娛樂_旅遊.csv,C027020,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027020
休閒娛樂,主題樂園,休閒娛樂_主題樂園.csv,C027021,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027021
休閒娛樂,博奕相關,休閒娛樂_博奕相關.csv,C027022,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027022
休閒娛樂,電影院／劇院,休閒娛樂_電影院／劇院.csv,C027024,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027024
休閒娛樂,俱樂部,休閒娛樂_俱樂部.csv,C027025,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027025
休閒娛樂,陳列展覽相關,休閒娛樂_陳列展覽相關.csv,C027026,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027026
休閒娛樂,大型遊樂場,休閒娛樂_大型遊樂場.csv,C027060,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027060
休閒娛樂,連鎖健身房,休閒娛樂_連鎖健身房.csv,C027061,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027061
休閒娛樂,旅行社,休閒娛樂_旅行社.csv,C027062,7,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027062
休閒娛樂,KTV,休閒娛樂_KTV.csv,C027063,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027063
時尚產業,時尚產業,時尚產業_時尚產業.csv,C027027,18,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027027
時尚產業,精品,時尚產業_精品.csv,C027028,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027028
時尚產業,美妝保養品,時尚產業_美妝保養品.csv,C027029,16,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027029
時尚產業,珠寶,時尚產業_珠寶.csv,C027030,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027030
時尚產業,美容,時尚產業_美容.csv,C027040,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027040
時尚產業,鐘錶,時尚產業_鐘錶.csv,C099220,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C099220
金融業,銀行,金融業_銀行.csv,C028010,21,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028010
金融業,壽險,金融業_壽險.csv,C028020,8,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028020
金融業,產險,金融業_產險.csv,C028030,9,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028030
金融業,保險經紀,金融業_保險經紀.csv,C028031,6,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028031
金融業,票券,金融業_票券.csv,C028040,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028040
金融業,證金公司,金融業_證金公司.csv,C028050,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028050
金融業,證券,金融業_證券.csv,C028060,22,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028060
